timestamp,gn_rx_createpdpcontextreq_total,gn_rx_deletepdpcontextreq_total,gtp1_pdpctxs_active,fivegs_smffunction_sm_n4sessionreport_total,ues_active,gtp2_sessions_active,s5c_rx_createsession_total,s5c_rx_deletesession_total,gtp_new_node_failed_total,s5c_rx_parse_failed_total,fivegs_smffunction_sm_n4sessionreportsucc_total,fivegs_smffunction_sm_n4sessionestabreq_total,bearers_active,gn_rx_parse_failed_total,gtp_peers_active,"fivegs_smffunction_sm_sessionnbr{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_pdusessioncreationreq_total{plmnid="""",snssai=""""}","fivegs_smffunction_sm_pdusessioncreationreq_total{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_pdusessioncreationsucc_total{plmnid=""00101"",snssai=""1""}","fivegs_smffunction_sm_qos_flow_nbr{plmnid=""00101"",snssai=""1"",fiveqi=""9""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:05:57.312999964,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:57.608999968,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:57.907000065,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:58.223999977,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:58.509000063,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:58.808000088,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:59.111000061,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:59.414999962,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:05:59.713000059,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:00.015000105,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:00.306999922,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:00.611999989,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:00.917000055,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:01.227999926,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:01.517999887,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:01.819000006,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:02.111999989,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:02.411999941,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:02.713000059,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:03.019999981,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:03.311000109,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:03.611999989,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:03.913000107,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
2025-11-14 11:06:04.213000059,0,0,0,2206,65,0,0,0,0,0,2206,0,65,0,0,65,69,69,69,69,1048576,-1,3003,3121426432,73990144,196859,25
