timestamp,fivegs_ep_n3_gtp_indatapktn3upf_total,fivegs_ep_n3_gtp_outdatapktn3upf_total,fivegs_upffunction_sm_n4sessionestabreq_total,fivegs_upffunction_sm_n4sessionreport_total,fivegs_upffunction_sm_n4sessionreportsucc_total,fivegs_upffunction_upf_sessionnbr,"fivegs_upffunction_upf_qosflows{dnn=""internet""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:01:28.733000040,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:29.026000023,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:29.315999985,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:29.611999989,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:29.933000088,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:30.220999956,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:30.517999887,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:30.825999975,0,0,69,2205,2205,65,65,1048576,-1,67314,288829440,35618816,178917,12
2025-11-14 11:01:31.111999989,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:31.427000046,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:31.736000061,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:32.036999941,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:32.322999954,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:32.615999937,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:32.914999962,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:33.220000029,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:33.516000032,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:33.842000008,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:34.122999907,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:34.424000025,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:34.719000101,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:35.016999960,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:35.316999912,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:35.615000010,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:35.915999889,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:36.229000092,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:36.552999973,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:36.835999966,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:37.119999886,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:37.417999983,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:37.717999935,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:38.017999887,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:38.319000006,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:38.621999979,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:38.924000025,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:39.223999977,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:39.523000001,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:39.815000057,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:40.119999886,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:40.420000076,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:40.720000029,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:41.030999899,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
2025-11-14 11:01:41.322000027,0,0,69,2205,2205,65,65,1048576,-1,67315,288829440,35618816,178917,12
