timestamp,gnb,fivegs_amffunction_mm_confupdate_total,fivegs_amffunction_rm_reginitreq_total,fivegs_amffunction_rm_regemergreq_total,fivegs_amffunction_mm_paging5greq_total,fivegs_amffunction_rm_regperiodreq_total,fivegs_amffunction_mm_confupdatesucc_total,fivegs_amffunction_rm_reginitsucc_total,fivegs_amffunction_amf_authreject_total,fivegs_amffunction_rm_regmobreq_total,amf_session,fivegs_amffunction_rm_regmobsucc_total,fivegs_amffunction_amf_authreq_total,fivegs_amffunction_rm_regemergsucc_total,fivegs_amffunction_mm_paging5gsucc_total,ran_ue,fivegs_amffunction_rm_regperiodsucc_total,"fivegs_amffunction_rm_registeredsubnbr{plmnid=""00101"",snssai=""1""}",process_max_fds,process_virtual_memory_max_bytes,process_cpu_seconds_total,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_open_fds
2025-11-14 11:08:49.714999914,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:50.013999939,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:50.319999933,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:50.615999937,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:50.926000118,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:51.226999998,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:51.516999960,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:51.822000027,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:52.119999886,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:52.438999891,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:52.737999916,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:53.020999908,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:53.322999954,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:53.619999886,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:53.914999962,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:54.217000008,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:54.513999938,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:54.822999954,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:55.127000093,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
2025-11-14 11:08:55.440999985,13,69,69,0,108,0,69,69,0,0,65,0,69,0,0,65,0,65,1048576,-1,2079,1847222272,234000384,222411,30
